Product Name,Review Title,Rating,Category,Comments
Redmi Note 9,vry small size mobile,3.0 out of 5 stars,Others,All ok but vry small size mobile
Redmi Note 9 Pro,Full display not working in all application.,3.0 out of 5 stars,Others,Quite good
Redmi Note 9 Pro Max,Not worth for the money,2.0 out of 5 stars,Others,worst product from MI. I am a hardcore fan of MI. But this one really disappointing.
Redmi 9,Fabulous!,4.0 out of 5 stars,Display,"Pros:
notch display
Dual camera
Face unlock
4000 mah battery
Cons:
Some of the apps donot work in full screen mode.
No Front flash

Great product to purchase finally and its value for money.I got this phone for 10,500 and thanks to Xiaomi."
Redmi 9 Power,Fantastic,4.0 out of 5 stars,Camera,Front camera is poor rest things are good
Redmi Note 10,Good,5.0 out of 5 stars,Others,Wooo
Redmi Note 10 Pro,Awesome product,5.0 out of 5 stars,Others,awesome product at this range
Redmi Note 10 Pro Max,08-Oct,4.0 out of 5 stars,Camera,"Very nice looks , smooth operation , camera could have been better"
Redmi Note 11,Nice handy phone with good camera with notch,4.0 out of 5 stars,Others,Like every things but fullscreen video playing option is not available in default player...
Redmi Note 11 Pro,dont buy these product. these copy of the product,1.0 out of 5 stars,Others,"Please don't buy these product.. I have 3-mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot-spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset."
Redmi Note 11 Pro+ 5G,Thanks alot Amazon,5.0 out of 5 stars,Battery,"Thanks alot Amazon,ecom & seller.perfect product no compromise in quality, good battery backup.smooth working no hanging problem.no heating issue.according to note 5 dual camera working properly.product packing is perfect again thanks alot Amazon, seller,ecom &&&&MI."
Redmi Note 12,Pros and cons,5.0 out of 5 stars,Display,"No company can provide u these features
Pros:
AWESOME display
Great video stablisation
Great battery
Great performance
Looks beatifull

Cons:
Okk front camera( not very bad considering price)"
Redmi Note 12 Pro,Design can be better,3.0 out of 5 stars,Others,The product is great with quite good features. I am great fan of xiaomi and I have been always using Xiaomi phones. But I am disappointed with mobile designing of Xiaomi as most of all the lower range and mid range phones have same design. Xiaomi always being giving with so many features but being realme entering in market Xiaomi has to be more creative to attract more indian customers.
Redmi Note 12 Pro+ 5G,Mi 6pro review,3.0 out of 5 stars,Camera,Camera clarity is not good and average mobile I purchased first time mi mobile but not good compare to expect
Redmi Note 13,Best phone u can get in this and within 20k budget,5.0 out of 5 stars,Display,"Superb job by Xiaomi
Handy phone. Not huge size not slippery.
Better battery display processing speed. Overall its the best phone."
Redmi Note 13 Pro,Superb Phone. Good for Performance.,5.0 out of 5 stars,Display,"Good phone at such a valuable price. Notch display.
Value for money"
Redmi Note 13 Pro+ 5G,Nice,5.0 out of 5 stars,Others,Good phone
Redmi Note 14,Fantastic,5.0 out of 5 stars,Others,"Great product, fully met my expectations...."
Redmi Note 14 Pro,Good,4.0 out of 5 stars,Others,Good
Redmi Note 14 Pro+ 5G,Not good as expected,1.0 out of 5 stars,Others,Do not buy.
Redmi 10,High thinker,2.0 out of 5 stars,Others,No dual 4g if you think new mobile you buy realme 1
Redmi 10 Prime,good phone,5.0 out of 5 stars,Others,very good phone of this budget......red colour very beautiful
Redmi 11 Prime,Good service,4.0 out of 5 stars,Delivery,Nice product. Delivery guy also.
Redmi 12,Bad camera,2.0 out of 5 stars,Camera,Bad camera quality and heating problem
