Review Title,Rating,Category,Comments
vry small size mobile,3.0 out of 5 stars,Others,All ok but vry small size mobile
Full display not working in all application.,3.0 out of 5 stars,Others,Quite good
Value for Money,5.0 out of 5 stars,Display,"Redmi has always have been the the king of budget segment.And yet another they gave us the Redmi 6 pro.It's a beautifully designed,strong and durable.And the camera is awesome just like the Note 5 pro,Display is crisp and the notch is in good shape, means it does take whole screen.Sound quality is clear and loud.But the headset experience is awesome.The Battery is 4000mah which is crazily optimized.In heavy useage it will give 2 day and a half in normal useage it give 3 days.And best thing is the inbuild Mi sercurity which loaded with features.You don't need third security apps.And the phone do charge little faster on it's stock adapter.Atleast 2hrs and 45mins.As it's a Qualcomm Chipset.

Verdict: The Base model is actually the Value for money deal. 3/32 GB.
I have been using the Redmi 6 pro for 3 weeks now. This is totally tested."
Not worth for the money,2.0 out of 5 stars,Others,worst product from MI. I am a hardcore fan of MI. But this one really disappointing.
Redmi 6 pro (3/32 GB) review after using for one week.,3.0 out of 5 stars,Display,"Over prised by at least around Rs.1000/- Low light photos are bad. Only one SIM support VOLTE.
Good things are best sound, good display, smooth touch, excellent battery life management, compact, nice photos and videos under good light. It never gets over heated while using or charging. I don't play games. I like MIUI. I have already Redmi 4 A (Rs.6000/-only) using for more than 14 months working superbly. I have good opinion about Redmi mobiles."
Fabulous!,4.0 out of 5 stars,Display,"Pros:
notch display
Dual camera
Face unlock
4000 mah battery
Cons:
Some of the apps donot work in full screen mode.
No Front flash

Great product to purchase finally and its value for money.I got this phone for 10,500 and thanks to Xiaomi."
Fantastic,4.0 out of 5 stars,Camera,Front camera is poor rest things are good
Good,5.0 out of 5 stars,Others,Wooo
All youtubers are paid,5.0 out of 5 stars,Others,"Realme is sub brand of oppo
He give money to all techi youtubers including big ones and tell him to promote more realme
But MI 6 Pro is much better than real me
Don't worry mi have given value for money as always"
Awesome product,5.0 out of 5 stars,Others,awesome product at this range
08-Oct,4.0 out of 5 stars,Camera,"Very nice looks , smooth operation , camera could have been better"
Nice handy phone with good camera with notch,4.0 out of 5 stars,Others,Like every things but fullscreen video playing option is not available in default player...
dont buy these product. these copy of the product,1.0 out of 5 stars,Others,"Please don't buy these product.. I have 3-mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot-spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset."
Thanks alot Amazon,5.0 out of 5 stars,Battery,"Thanks alot Amazon,ecom & seller.perfect product no compromise in quality, good battery backup.smooth working no hanging problem.no heating issue.according to note 5 dual camera working properly.product packing is perfect again thanks alot Amazon, seller,ecom &&&&MI."
Pros and cons,5.0 out of 5 stars,Display,"No company can provide u these features
Pros:
AWESOME display
Great video stablisation
Great battery
Great performance
Looks beatifull

Cons:
Okk front camera( not very bad considering price)"
Design can be better,3.0 out of 5 stars,Others,The product is great with quite good features. I am great fan of xiaomi and I have been always using Xiaomi phones. But I am disappointed with mobile designing of Xiaomi as most of all the lower range and mid range phones have same design. Xiaomi always being giving with so many features but being realme entering in market Xiaomi has to be more creative to attract more indian customers.
Mi 6pro review,3.0 out of 5 stars,Camera,Camera clarity is not good and average mobile I purchased first time mi mobile but not good compare to expect
Best phone u can get in this and within 20k budget,5.0 out of 5 stars,Display,"Superb job by Xiaomi
Handy phone. Not huge size not slippery.
Better battery display processing speed. Overall its the best phone."
Superb Phone. Good for Performance.,5.0 out of 5 stars,Display,"Good phone at such a valuable price. Notch display.
Value for money"
Nice,5.0 out of 5 stars,Others,Good phone
Fantastic,5.0 out of 5 stars,Others,"Great product, fully met my expectations...."
Good,4.0 out of 5 stars,Others,Good
Not good as expected,1.0 out of 5 stars,Others,Do not buy.
High thinker,2.0 out of 5 stars,Others,No dual 4g if you think new mobile you buy realme 1
good phone,5.0 out of 5 stars,Others,very good phone of this budget......red colour very beautiful
Good service,4.0 out of 5 stars,Delivery,Nice product. Delivery guy also.
Bad camera,2.0 out of 5 stars,Camera,Bad camera quality and heating problem
Good phone in budget,4.0 out of 5 stars,Battery,"Good phone in budget. Good camera,battery and performance for normal use. Call sound is very good."
Redmi Pro 6,3.0 out of 5 stars,Battery,"Awesome sound quality , battery life is good , gaming is good no lags there ...Very poor camera if you r buying for a camera phone the m this is not the one.. Moto 5 MP camera works better than this"
Nice,5.0 out of 5 stars,Others,Good phone
Fantastic,5.0 out of 5 stars,Others,"Great product, fully met my expectations...."
Good,4.0 out of 5 stars,Others,Good
Not good as expected,1.0 out of 5 stars,Others,Do not buy.
High thinker,2.0 out of 5 stars,Others,No dual 4g if you think new mobile you buy realme 1
good phone,5.0 out of 5 stars,Others,very good phone of this budget......red colour very beautiful
Good service,4.0 out of 5 stars,Delivery,Nice product. Delivery guy also.
Bad camera,2.0 out of 5 stars,Camera,Bad camera quality and heating problem
Good phone in budget,4.0 out of 5 stars,Battery,"Good phone in budget. Good camera,battery and performance for normal use. Call sound is very good."
Redmi Pro 6,3.0 out of 5 stars,Battery,"Awesome sound quality , battery life is good , gaming is good no lags there ...Very poor camera if you r buying for a camera phone the m this is not the one.. Moto 5 MP camera works better than this"
Best Mobile in this price category.,4.0 out of 5 stars,Battery,"Nice mobile, battery backup is good, camera gud, one limitation is front camera- 5 no, slim & light weight mobile"
THIK THAK.,4.0 out of 5 stars,Display,Like everything besides display.
Upto You,3.0 out of 5 stars,Others,"A Bit Pricey compared to the competitors.
Nice and Sleek body feels Good on Hand.
Overall Performance Is good Enough less heat compered to mi redmi devices."
Batytery is not good mentioned 4000mah but not good,1.0 out of 5 stars,Battery,Please dont't bye camera is good but battery back up not good
